ID_cannot_be_submitted,attribute,value_de_DE,value_cs_CZ,value_en_US,value_sk_SK,value_pl_pl,value_fr_fr,value_it_it,multilanguage,title_de_DE
1351233,age_recommendation,3-16 Jahre,3–16 let,3-16 years,3 – 16 rokov,3–16 lat,3-16 ans,3-16 anni,1,Altersempfehlung
1438301,age_recommendation,6-12 Jahre,6–12 let,6-12 years,6 – 12 rokov,6–12 lat,6-12 ans,6-12 anni,1,Altersempfehlung
1351230,age_recommendation,4-99 Jahre,4–99 let,4-99 years,4 – 99 rokov,4–99 lat,4-99 ans,4-99 anni,1,Altersempfehlung
792811,age_recommendation,3-10 Jahre,3–10 let,3-10 years,3 – 10 rokov,3–10 lat,3-10 ans,3-10 anni,1,Altersempfehlung
1413830,age_recommendation,4-10 Jahre,4–10 let,4-10 years,4 – 10 rokov,4–10 lat,4-10 ans,4-10 anni,1,Altersempfehlung
6066468,age_recommendation,0-6 Monaten,0–6 měsíců,0-6 months,0 – 6 rokov,0–6 miesięcy,0-6 mois,0-6 mesi,1,Altersempfehlung
1351195,age_recommendation,0-4 Jahre,0–4 roky,0-4 years,0 – 4 rokov,0–4 lat,0-4 ans,0-4 anni,1,Altersempfehlung
792452,age_recommendation,6-96 Monate,6–96 měsíců,6-96 months,6 – 96 mesiacov,6–96 miesięcy,6-96 mois,6-96 mesi,1,Altersempfehlung
3773765,age_recommendation,9-14 Jahre,9–14 let,9-14 years,9 – 14 rokov,9–14 lat,9-14 ans,9-14 anni,1,Altersempfehlung
1351234,age_recommendation,5-10 Jahre,5–10 let,5-10 years,5 – 10 rokov,5–10 lat,5-10 ans,5-10 anni,1,Altersempfehlung
792103,age_recommendation,3-18 Monate,3–18 měsíců,3-18 months,3 – 18 mesiacov,3–18 miesięcy,3-18 mois,3-18 mesi,1,Altersempfehlung
1351237,age_recommendation,8-99 Jahre,8–99 let,8-99 years,8 – 99 rokov,8–99 lat,8-99 ans,8-99 anni,1,Altersempfehlung
1433798,age_recommendation,2-6 Jahre,2–6 let,2-6 years,2 – 6 rokov,2–6 lat,2-6 ans,2-6 anni,1,Altersempfehlung
791323,age_recommendation,ab 10 Monaten,od 10 měsíců,10 months and up,od 10 mesiacov,od 10 miesięcy,à partir de 10 mois,dai 10 mesi in su,1,Altersempfehlung
792454,age_recommendation,9-36 Monate,9–36 měsíců,9-36 months,9 – 36 mesiacov,9–36 miesięcy,9-36 mois,9-36 mesi,1,Altersempfehlung
1351227,age_recommendation,1-3 Jahre,1–3 roky,1-3 years,1 – 3 rokov,1–3 lat,1-3 ans,1-3 anni,1,Altersempfehlung
764,age_recommendation,ab 16 Jahren,od 16 let,16 years and up,od 16 rokov,od 16 lat,à partir de 16 ans,dai 16 anni in su,1,Altersempfehlung
2010164,age_recommendation,10-99 Jahren,10–99 let,10-99 years,10 – 99 rokov,10–99 lat,10-99 ans,10-99 anni,1,Altersempfehlung
791322,age_recommendation,ab 1 Monat,od 1 měsíce,1 month and up,od 1 mesiaca,od 1 miesiąca,à partir de 1 mois,da 1 mese in su,1,Altersempfehlung
792448,age_recommendation,3-12 Monate,3–12 měsíců,3-12 months,3 – 12 mesiacov,3–12 miesięcy,3-12 mois,3-12 mesi,1,Altersempfehlung
792107,age_recommendation,6-36 Monate,6–36 měsíců,6-36 months,6 – 36 mesiacov,6–36 miesięcy,6-36 mois,6-36 mesi,1,Altersempfehlung
6066513,age_recommendation,18-24 Monate,18–24 měsíců,18-24 months,18 – 24 mesiacov,18–24 miesięcy,18-24 mois,18-24 mesi,1,Altersempfehlung
1440256,age_recommendation,2-3 Jahren,2–3 roky,2-3 years,2 – 3 roky,2–3 lat,2-3 ans,2-3 anni,1,Altersempfehlung
750,age_recommendation,ab 5 Jahren,od 5 let,5 years and up,od 5 rokov,od 5 lat,à partir de 5 ans,dai 5 anni in su,1,Altersempfehlung
1410022,age_recommendation,15-36 Monate,15–36 měsíců,15-36 months,15 – 36 mesiacov,15–36 miesięcy,15-36 mois,15-36 mesi,1,Altersempfehlung
792100,age_recommendation,0-18 Monate,0–18 měsíců,0-18 months,0 – 18 mesiacov,0–18 miesięcy,0-18 mois,0-18 mesi,1,Altersempfehlung
1382907,age_recommendation,"ab 3,5 Jahren","od 3,5 roku",3.5 years and up,"od 3,5 roka","od 3,5 lat","à partir de 3,5 ans","dai 3,5 anni in su",1,Altersempfehlung
792111,age_recommendation,10-96 Monate,10–96 měsíců,10-96 months,10 – 96 mesiacov,10–96 miesięcy,10-96 mois,10-96 mesi,1,Altersempfehlung
2010168,age_recommendation,10-99 Jahre,10–99 let,10-99 years,10 – 99 rokov,10–99 lat,10-99 ans,10-99 anni,1,Altersempfehlung
1351225,age_recommendation,1-99 Jahre,1–99 let,1-99 years,1 – 99 rokov,1–99 lat,1-99 ans,1-99 anni,1,Altersempfehlung
1438917,age_recommendation,4-6 Jahre,4–6 let,4-6 years,4 – 6 rokov,4–6 lat,4-6 ans,4-6 anni,1,Altersempfehlung
791326,age_recommendation,ab 2 Monaten,od 2 měsíců,2 months and up,od 2 mesiacov,od 2 miesięcy,à partir de 2 mois,dai 2 mesi in su,1,Altersempfehlung
1409409,age_recommendation,"1,5-5 Jahre","1,5–5 let",1.5-5 years,"1,5 – 5 rokov","1,5–5 lat","1,5-5 ans","1,5-5 anni",1,Altersempfehlung
792249,age_recommendation,ab 0 Jahren,od 0 let,0 years and up,od 0 rokov,od 0 lat,à partir de 0 ans,da 0 anni in su,1,Altersempfehlung
1405457,age_recommendation,4-8 Jahre,4–8 let,4-8 years,4 – 8 rokov,4–8 lat,4-8 ans,4-8 anni,1,Altersempfehlung
6066476,age_recommendation,5-8 Jahre,5–8 let,5-8 years,5 – 8 rokov,5–8 lat,5-8 ans,5-8 anni,1,Altersempfehlung
3773724,age_recommendation,18-36 Monate,18–36 měsíců,18-36 months,18 – 36 mesiacov,18–36 miesięcy,18-36 mois,18-36 mesi,1,Altersempfehlung
791329,age_recommendation,ab 5 Monaten,od 5 měsíců,5 months and up,od 5 mesiacov,od 5 miesięcy,à partir de 5 mois,dai 5 mesi in su,1,Altersempfehlung
791330,age_recommendation,ab 6 Monaten,od 6 měsíců,6 months and up,od 6 mesiacov,od 6 miesięcy,à partir de 6 mois,dai 6 mesi in su,1,Altersempfehlung
2010167,age_recommendation,16-99 Jahre,16–99 let,16-99 years,16 – 99 rokov,16–99 lat,16-99 ans,16-99 anni,1,Altersempfehlung
6066444,age_recommendation,12-99 Jahre,12–99 let,12-99 years,12 – 99 rokov,12–99 lat,12-99 ans,12-99 anni,1,Altersempfehlung
1383502,age_recommendation,4-7 Jahre,4–7 let,4-7 years,4 – 7 rokov,4–7 lat,4-7 ans,4-7 anni,1,Altersempfehlung
791327,age_recommendation,ab 3 Monaten,od 3 měsíců,3 months and up,od 3 mesiacov,od 3 miesięcy,à partir de 3 mois,dai 3 mesi in su,1,Altersempfehlung
792453,age_recommendation,9-24 Monate,9–24 měsíců,9-24 months,9 – 24 mesiacov,9–24 miesięcy,9-24 mois,9-24 mesi,1,Altersempfehlung
729,age_recommendation,ab 2 Jahren,od 2 let,2 years and up,od 2 rokov,od 2 lat,à partir de 2 ans,dai 2 anni in su,1,Altersempfehlung
791331,age_recommendation,ab 9 Monaten,od 9 měsíců,9 months and up,od 9 mesiacov,od 9 miesięcy,à partir de 9 mois,dai 9 mesi in su,1,Altersempfehlung
1431924,age_recommendation,6-99 Jahre,6–99 let,6-99 years,6 – 99 rokov,6–99 lat,6-99 ans,6-99 anni,1,Altersempfehlung
792455,age_recommendation,ab 15 Monaten,od 15 měsíců,15 months and up,od 15 mesiacov,od 15 miesięcy,à partir de 15 mois,dai 15 mesi in su,1,Altersempfehlung
792101,age_recommendation,0-24 Monate,0–24 měsíců,0-24 months,0 – 24 mesiacov,0–24 miesięcy,0-24 mois,0-24 mesi,1,Altersempfehlung
1351226,age_recommendation,0-3 Jahre,0–3 roky,0-3 years,0 – 3 rokov,0–3 lat,0-3 ans,0-3 anni,1,Altersempfehlung
757,age_recommendation,ab 11 Jahren,od 11 let,11 years and up,od 11 rokov,od 11 lat,à partir de 11 ans,dagli 11 anni in su,1,Altersempfehlung
1352570,age_recommendation,2-5 Jahre,2–5 let,2-5 years,2 – 5 rokov,2–5 lat,2-5 ans,2-5 anni,1,Altersempfehlung
791324,age_recommendation,ab 16 Monaten,od 16 měsíců,16 months and up,od 16 mesiacov,od 16 miesięcy,à partir de 16 mois,dai 16 mesi in su,1,Altersempfehlung
792449,age_recommendation,0-72 Monate,0–72 měsíců,0-72 months,0 – 72 mesiacov,0–72 miesięcy,0-72 mois,0-72 mesi,1,Altersempfehlung
792102,age_recommendation,0-36 Monate,0–36 měsíců,0-36 months,0 – 36 mesiacov,0–36 miesięcy,0-36 mois,0-36 mesi,1,Altersempfehlung
752,age_recommendation,ab 6 Jahren,od 6 let,6 years and up,od 6 rokov,od 6 lat,à partir de 6 ans,dai 6 anni in su,1,Altersempfehlung
792810,age_recommendation,1-6 Jahre,1–6 let,1-6 years,1 – 6 rokov,1–6 lat,1-6 ans,1-6 anni,1,Altersempfehlung
767,age_recommendation,ab 18 Jahren,od 18 let,18 years and up,od 18 rokov,od 18 lat,à partir de 18 ans,dai 18 anni in su,1,Altersempfehlung
1351238,age_recommendation,16-36 Monate,16–36 měsíců,16-36 months,16 – 36 mesiacov,16–36 miesięcy,16-36 mois,16-36 mesi,1,Altersempfehlung
1422714,age_recommendation,8 Monate-12 Jahre,8 měsíců až 12 let,8 months-12 years,8 mesiacov – 12 rokov,8 miesięcy–12 lat,8 mois-12 ans,8 mesi-12 anni,1,Altersempfehlung
792457,age_recommendation,ab 8 Monaten,od 8 měsíců,8 months and up,od 8 mesiacov,od 8 miesięcy,à partir de 8 mois,dagli 8 mesi in su,1,Altersempfehlung
1351231,age_recommendation,3-99 Jahre,3–99 let,3-99 years,3 – 99 rokov,3–99 lat,3-99 ans,3-99 anni,1,Altersempfehlung
1402626,age_recommendation,6-12 Monate,6–12 měsíců,6-12 months,6 – 12 mesiacov,6–12 miesięcy,6-12 mois,6-12 mesi,1,Altersempfehlung
792815,age_recommendation,3-6 Jahre,3–6 let,3-6 years,3 – 6 rokov,3–6 lat,3-6 ans,3-6 anni,1,Altersempfehlung
791325,age_recommendation,ab 18 Monaten,od 18 měsíců,18 months and up,od 18 mesiacov,od 18 miesięcy,à partir de 18 mois,dai 18 mesi in su,1,Altersempfehlung
792106,age_recommendation,6-48 Monate,6–48 měsíců,6-48 months,6 – 48 mesiacov,6–48 miesięcy,6-48 mois,6-48 mesi,1,Altersempfehlung
1360195,age_recommendation,"ab 2,5 Jahren","od 2,5 roku",2.5 years and up,"od 2,5 roka","od 2,5 lat","à partir de 2,5 ans","dai 2,5 anni in su",1,Altersempfehlung
6066579,age_recommendation,0-5 Jahre,0–5 let,0-5 years,0 – 5 rokov,0–5 lat,0-5 ans,0-5 anni,1,Altersempfehlung
1351228,age_recommendation,2-8 Jahre,2–8 let,2-8 years,2 – 8 rokov,2–8 lat,2-8 ans,2-8 anni,1,Altersempfehlung
791328,age_recommendation,ab 4 Monaten,od 4 měsíců,4 months and up,od 4 mesiacov,od 4 miesięcy,à partir de 4 mois,dai 4 mesi in su,1,Altersempfehlung
1422707,age_recommendation,1-4 Jahre,1–4 roky,1-4 years,1 – 4 rokov,1–4 lat,1-4 ans,1-4 anni,1,Altersempfehlung
435,age_recommendation,25-48 Monate,25–48 měsíců,25-48 months,25 – 48 mesiacov,25–48 miesięcy,25-48 mois,25-48 mesi,1,Altersempfehlung
2010169,age_recommendation,18-60 Monate,18–60 měsíců,18-60 months,18 – 60 mesiacov,18–60 miesięcy,18-60 mois,18-60 mesi,1,Altersempfehlung
1413831,age_recommendation,7-12 Jahre,7–12 let,7-12 years,7 – 12 rokov,7–12 lat,7-12 ans,7-12 anni,1,Altersempfehlung
431,age_recommendation,4-6 Monate,4–6 měsíců,4-6 months,4 – 6 mesiacov,4–6 miesięcy,4-6 mois,4-6 mesi,1,Altersempfehlung
792451,age_recommendation,3-24 Monate,3–24 měsíců,3-24 months,3 – 24 mesiacov,3–24 miesięcy,3-24 mois,3-24 mesi,1,Altersempfehlung
1431704,age_recommendation,3-36 Monate,3–36 měsíců,3-36 months,3 – 36 mesiacov,3–36 miesięcy,3-36 mois,3-36 mesi,1,Altersempfehlung
755,age_recommendation,ab 9 Jahren,od 9 let,9 years and up,od 9 rokov,od 9 lat,à partir de 9 ans,dai 9 anni in su,1,Altersempfehlung
1438213,age_recommendation,0-12 Jahre,0–12 let,0-12 years,0 – 12 rokov,0–12 lat,0-12 ans,0-12 anni,1,Altersempfehlung
1357529,age_recommendation,0-5 Monate,0–5 měsíců,0-5 months,0 – 5 mesiacov,0–5 miesięcy,0-5 mois,0-5 mesi,1,Altersempfehlung
792108,age_recommendation,12-48 Monate,12–48 měsíců,12-48 months,12 – 48 mesiacov,12–48 miesięcy,12-48 mois,12-48 mesi,1,Altersempfehlung
792109,age_recommendation,0-96 Monate,0–96 měsíců,0-96 months,0 – 96 mesiacov,0–96 miesięcy,0-96 mois,0-96 mesi,1,Altersempfehlung
1363588,age_recommendation,1-5 Jahre,1–5 let,1-5 years,1 – 5 rokov,1–5 lat,1-5 ans,1-5 anni,1,Altersempfehlung
1383503,age_recommendation,6-10 Jahre,6–10 let,6-10 years,6 – 10 rokov,6–10 lat,6-10 ans,6-10 anni,1,Altersempfehlung
1360196,age_recommendation,"2,5-5 Jahre","2,5–5 let",2.5-5 years,"2,5 – 5 rokov","2,5–5 lat","2,5-5 ans","2,5-5 anni",1,Altersempfehlung
1431705,age_recommendation,24-36 Monate,24–36 měsíců,24-36 months,24 – 36 mesiacov,24–36 miesięcy,24-36 mois,24-36 mesi,1,Altersempfehlung
758,age_recommendation,ab 12 Jahren,od 12 let,12 years and up,od 12 rokov,od 12 lat,à partir de 12 ans,dai 12 anni in su,1,Altersempfehlung
792099,age_recommendation,0-48 Monate,0–48 měsíců,0-48 months,0 – 48 mesiacov,0–48 miesięcy,0-48 mois,0-48 mesi,1,Altersempfehlung
1351236,age_recommendation,8-12 Jahre,8–12 let,8-12 years,8 – 12 rokov,8–12 lat,8-12 ans,8-12 anni,1,Altersempfehlung
754,age_recommendation,ab 8 Jahren,od 8 let,8 years and up,od 8 rokov,od 8 lat,à partir de 8 ans,dagli 8 anni in su,1,Altersempfehlung
2010166,age_recommendation,7-99 Jahre,7–99 let,7-99 years,7 – 99 rokov,7–99 lat,7-99 ans,7-99 anni,1,Altersempfehlung
762,age_recommendation,ab 15 Jahren,od 15 let,15 years and up,od 15 rokov,od 15 lat,à partir de 15 ans,dai 15 anni in su,1,Altersempfehlung
6066447,age_recommendation,3-7 Jahre,3–7 let,3-7 years,3 – 7 rokov,3–7 lat,3-7 ans,3-7 anni,1,Altersempfehlung
430,age_recommendation,0-3 Monate,0–3 měsíce,0-3 months,0 – 3 mesiacov,0–3 miesięcy,0-3 mois,0-3 mesi,1,Altersempfehlung
2010170,age_recommendation,2-99 Jahre,2–99 let,2-99 years,2 – 99 rokov,2–99 lat,2-99 ans,2-99 anni,1,Altersempfehlung
792816,age_recommendation,3-8 Jahre,3–8 let,3-8 years,3 – 8 rokov,3–8 lat,3-8 ans,3-8 anni,1,Altersempfehlung
760,age_recommendation,ab 14 Jahren,od 14 let,14 years and up,od 14 rokov,od 14 lat,à partir de 14 ans,dai 14 anni in su,1,Altersempfehlung
756,age_recommendation,ab 10 Jahren,od 10 let,10 years and up,od 10 rokov,od 10 lat,à partir de 10 ans,dai 10 anni in su,1,Altersempfehlung
3773754,age_recommendation,8-14 Jahre,8–14 let,8-14 years,8 – 14 rokov,8–14 lat,8-14 ans,8-14 anni,1,Altersempfehlung
433,age_recommendation,10-12 Monate,10–12 měsíců,10-12 months,10 – 12 mesiacov,10–12 miesięcy,10-12 mois,10-12 mesi,1,Altersempfehlung
792814,age_recommendation,"1,5-4 Jahre","1,5–4 roky",1.5-4 years,"1,5 – 4 rokov","1,5–4 lat","1,5-4 ans","1,5-4 anni",1,Altersempfehlung
1351197,age_recommendation,3-12 Jahre,3–12 let,3-12 years,3 – 12 rokov,3–12 lat,3-12 ans,3-12 anni,1,Altersempfehlung
1421290,age_recommendation,1-12 Jahre,1–12 let,1-12 years,1 – 12 rokov,1–12 lat,1-12 ans,1-12 anni,1,Altersempfehlung
1351232,age_recommendation,3-9 Jahre,3–9 let,3-9 years,3 – 9 rokov,3–9 lat,3-9 ans,3-9 anni,1,Altersempfehlung
432,age_recommendation,7-9 Monate,7–9 měsíců,7-9 months,7 – 9 mesiacov,7–9 miesięcy,7-9 mois,7-9 mesi,1,Altersempfehlung
1441807,age_recommendation,8-10 Jahre,8–10 let,8-10 years,8 – 10 rokov,8–10 lat,8-10 ans,8-10 anni,1,Altersempfehlung
749,age_recommendation,ab 4 Jahren,od 4 let,4 years and up,od 4 rokov,od 4 lat,à partir de 4 ans,dai 4 anni in su,1,Altersempfehlung
1394249,age_recommendation,7-15 Monate,7–15 měsíců,7-15 months,7 – 15 mesiacov,7–15 miesięcy,7-15 mois,7-15 mesi,1,Altersempfehlung
2010165,age_recommendation,5-99 Jahre,5–99 let,5-99 years,5 – 99 rokov,5–99 lat,5-99 ans,5-99 anni,1,Altersempfehlung
792104,age_recommendation,0-12 Monate,0–12 měsíců,0-12 months,0 – 12 mesiacov,0–12 miesięcy,0-12 mois,0-12 mesi,1,Altersempfehlung
728,age_recommendation,ab 1 Jahr,od 1 roku,1 year and up,od 1 roka,od 1 roku życia,à partir de 1 an,da 1 anno in su,1,Altersempfehlung
1411995,age_recommendation,2-3 Jahre,2–3 roky,2-3 years,2 – 3 rokov,2–3 lat,2-3 ans,2-3 anni,1,Altersempfehlung
765,age_recommendation,ab 17 Jahren,od 17 let,17 years and up,od 17 rokov,od 17 lat,à partir de 17 ans,dai 17 anni in su,1,Altersempfehlung
1351224,age_recommendation,0-99 Jahre,0–99 let,0-99 years,0 – 99 rokov,0–99 lat,0-99 ans,0-99 anni,1,Altersempfehlung
792812,age_recommendation,3-5 Jahre,3–5 let,3-5 years,3 – 5 rokov,3–5 lat,3-5 ans,3-5 anni,1,Altersempfehlung
1352572,age_recommendation,5-12 Jahre,5–12 let,5-12 years,5 – 12 rokov,5–12 lat,5-12 ans,5-12 anni,1,Altersempfehlung
1351235,age_recommendation,6-9 Jahre,6–9 let,6-9 years,6 – 9 rokov,6–9 lat,6-9 ans,6-9 anni,1,Altersempfehlung
1351201,age_recommendation,9 Monaten-4 Jahre,9 měsíců až 4 roky,9 months-4 years,9 mesiacov – 4 roky,9 miesięcy–4 lata,9 mois-4 ans,9 mesi-4 anni,1,Altersempfehlung
1422717,age_recommendation,0-8 Jahre,0–8 let,0-8 years,0 – 8 rokov,0–8 lat,0-8 ans,0-8 anni,1,Altersempfehlung
1351229,age_recommendation,2-7 Jahre,2–7 let,2-7 years,2 – 7 rokov,2–7 lat,2-7 ans,2-7 anni,1,Altersempfehlung
753,age_recommendation,ab 7 Jahren,od 7 let,7 years and up,od 7 rokov,od 7 lat,à partir de 7 ans,dai 7 anni in su,1,Altersempfehlung
792105,age_recommendation,12-24 Monate,12–24 měsíců,12-24 months,12 – 24 mesiacov,12–24 miesięcy,12-24 mois,12-24 mesi,1,Altersempfehlung
792813,age_recommendation,"1,5-3 Jahre","1,5–3 roky",1.5-3 years,"1,5 – 3 rokov","1,5–3 lat","1,5-3 ans","1,5-3 anni",1,Altersempfehlung
792450,age_recommendation,6-24 Monate,6–24 měsíců,6-24 months,6 – 24 mesiacov,6–24 miesięcy,6-24 mois,6-24 mesi,1,Altersempfehlung
6066443,age_recommendation,12-18 Monate,12–18 měsíců,12-18 months,12 – 18 mesiacov,12–18 miesięcy,12-18 mois,12-18 mesi,1,Altersempfehlung
1352571,age_recommendation,4-12 Jahre,4–12 let,4-12 years,4 – 12 rokov,4–12 lat,4-12 ans,4-12 anni,1,Altersempfehlung
792112,age_recommendation,24-60 Monate,24–60 měsíců,24-60 months,24 – 60 mesiacov,24–60 miesięcy,24-60 mois,24-60 mesi,1,Altersempfehlung
1430615,age_recommendation,"2,5-6 Jahre","2,5–6 let",2.5-6 years,"2,5 – 6 rokov","2,5–6 lat","2,5-6 ans","2,5-6 anni",1,Altersempfehlung
759,age_recommendation,ab 13 Jahren,od 13 let,13 years and up,od 13 rokov,od 13 lat,à partir de 13 ans,dai 13 anni in su,1,Altersempfehlung
792110,age_recommendation,12-96 Monate,12–96 měsíců,12-96 months,12 – 96 mesiacov,12–96 miesięcy,12-96 mois,12-96 mesi,1,Altersempfehlung
5683166,air_extraction_type,Abluftbetrieb,Odtahový režim,Exhaust air mode,Prevádzka s odvodom odpadového vzduchu,System odprowadzania powietrza (wyciągowy),À évacuation,Sistema aspirante,1,Dunstabzugssystem
5683165,air_extraction_type,Umluftbetrieb,Recirkulační režim,Recirculation mode,Prevádzka s cirkulujúcim vzduchom,System recyrkulacji powietrza (obiegowy),À recyclage,Sistema filtrante,1,Dunstabzugssystem
2529636,allergen,Spuren von Milch möglich,Může obsahovat stopy mléka,Traces of milk possible,Možné stopy mlieka,Może zawierać śladowe ilości mleka.,Traces de lait possibles,Può contenere tracce di latte,1,Allergene
1366300,allergen,"Glutenhaltiges Getreide, namentlich Kamut, sowie daraus hergestellte Erzeugnisse","Obiloviny obsahující lepek, konkrétně pšenice Khorasan, a výrobky z nich","Cereals containing gluten, namely Khorasan wheat, and products thereof","Obilniny obsahujúce glutén, konkrétne kamut a výrobky z neho",zboża zawierające gluten (tj. pszenica kamut) i produkty pochodne.,"Céréales contenant du gluten, notamment le blé khorasan, et produits dérivés","Cereali contenenti glutine, in particolare kamut, e prodotti derivati",1,Allergene
1369426,allergen,Farbstoffe,Barviva,Food colouring,Farbivá,Barwniki,Colorants,Coloranti,1,Allergene
1420433,allergen,"Kann enthalten: Glutenhaltiges Getreide, namentlich Dinkel, sowie daraus hergestellte Erzeugnisse","Může obsahovat: obiloviny s obsahem lepku, konkrétně špaldu, a výrobky z nich","May contain: Cereals containing gluten, namely spelt, and products thereof","Môže obsahovať: Obilniny obsahujúce glutén, konkrétne špaldu a výrobky z nej",Może zawierać zboża zawierające gluten (tj. orkisz) i produkty pochodne.,"Peut contenir : Céréales contenant du gluten, notamment l’épeautre, et produits dérivés","Può contenere: cereali contenenti glutine, in particolare farro, e prodotti derivati",1,Allergene
1366314,allergen,Pistazien sowie daraus hergestellte Erzeugnisse,Pistácie a výrobky z nich,Pistachios and products thereof,Pistácie a výrobky z nich,Pistacje i produkty pochodne,pistaches et produits dérivés,Pistacchi e prodotti derivati,1,Allergene
1366316,allergen,Sellerie und daraus gewonnene Erzeugnisse,Celer a výrobky z něj,Celeriac and products thereof,Zeler a výrobky z neho,Seler i produkty pochodne,Céleri et produits dérivés,Sedano e prodotti derivati,1,Allergene
1366315,allergen,Macadamianüsse sowie daraus hergestellte Erzeugnisse,Makadamové ořechy a výrobky z nich,Macadamia nuts and products thereof,Makadamové orechy a výrobky z nich,Orzechy makadamia i produkty pochodne,noix de macadamia et produits dérivés,Noci di macadamia e prodotti derivati,1,Allergene
2529681,allergen,Spuren von Sesam und Sellerie möglich,Může obsahovat stopy sezamu a celeru,Traces of sesame and celeriac possible,Možné stopy sezamu a zeleru,Może zawierać śladowe ilości sezamu i selera.,Traces possibles de sésame et de céleri,Può contenere tracce di sesamo e sedano,1,Allergene
1420439,allergen,Kann enthalten: Sojabohnen und daraus gewonnene Erzeugnisse,Může obsahovat: sójové boby a výrobky z nich,May contain: Soybeans and products thereof,Môže obsahovať: Sójové bôby a výrobky z nich,Może zawierać soję i produkty pochodne.,Peut contenir : fèves de soja et produits dérivés,Può contenere: soia e prodotti derivati,1,Allergene
2529396,allergen,"Spuren von Milch, Soja und Schalenfrüchten","Stopy mléka, sóji a skořápkových plodů","Traces of milk, soy and nuts","Stopy mlieka, sóje a škrupinových plodov","Może zawierać śladowe ilości mleka, soi i owoców łupinowych.","Traces de lait, de soja et de fruits à coque","Tracce di latte, soia e frutta a guscio",1,Allergene
1366306,allergen,Milch und daraus gewonnene Erzeugnisse einschließlich Laktose,Mléko a výrobky z něj (včetně laktózy),Milk and products thereof including lactose,Mlieko a mliečky výrobky (vrátane laktózy),"Mleko i produkty pochodne, w tym laktoza","Lait et produits dérivés, y compris lactose","Latte e prodotti derivati, compreso il lattosio",1,Allergene
1366322,allergen,Weichtiere und daraus gewonnene Erzeugnisse,Měkkýši a výrobky z nich,Molluscs and products thereof,Mäkkýše a výrobky z nich,Mięczaki i produkty pochodne,Mollusques et produits dérivés,Molluschi e prodotti derivati,1,Allergene
2529670,allergen,Spuren von Senf möglich,Může obsahovat stopy hořčice,Traces of mustard possible,Možné stopy horčice,Może zawierać śladowe ilości gorczycy.,Traces de moutarde possibles,Possibili tracce di senape,1,Allergene
2529394,allergen,Soja und daraus gewonnene Erzeugnisse einschließlich Soja-Lecithin,"Sója a výrobky z ní, včetně sójového lecitinu",Soy and products thereof including soy lecithin,Sója a výrobky z nej vrátane sójového lecitínu,"Soja i produkty pochodne, w tym lecytyna sojowa","Soja et produits dérivés, y compris lécithine de soja","Soia e prodotti a base di soia, compresa la lecitina di soia",1,Allergene
