Titel,Brand,Kategorie,SKU,Barcode (EAN/GTIN),Highlights,Description,Attributes,Price,BIN,Quantity
MEYLE ATF DCG II Getriebeöl 277026 für Doppelkupplungsgetriebe DCT NEU,MEYLE,"Auto & Motorrad: Teile > Öle, Flüssigkeiten & Additive > Getriebeöle",SKU-0945605804,4040074122754,"Spezialisiert für Doppelkupplungsgetriebe (DCT) für Spitzenleistung. | Erfüllt höchste OEM-Spezifikationen für universelle Fahrzeugkompatibilität. | ""Made in Germany"" für höchste Qualität und Zuverlässigkeit. | Garantiert reibungslose und präzise Schaltvorgänge. | Bietet exzellenten Verschleißschutz und verlängert die Getriebelebensdauer. | Fortschrittliche Formulierung für optimale Schmierung und Funktion.","Das MEYLE ATF DCG II Getriebeöl ist speziell für Doppelkupplungsgetriebe (DCT) entwickelt, um optimale Leistung und reibungslose Schaltvorgänge zu gewährleisten. Die fortschrittliche Formulierung aus deutscher Herstellung bietet exzellenten Verschleißschutz und verlängert die Lebensdauer des Getriebes.","{""Anwendung"":""Doppelkupplungsgetriebe (DCT)"",""Gebindeart"":""Flasche"",""Hersteller"":""MEYLE"",""Herstellernummer"":""277026"",""Herstellungsland"":""Deutschland"",""Inhalt"":""1 Liter"",""Produktart"":""Getriebeöl"",""weight"":1,""Zustand"":""Neu""}",21.08 EUR,XGA0106C,6
"MEYLE Filter-Satz 112 330 0003/S für Audi, Seat, Skoda, VW 1.6/2.0 TDI Neu",MEYLE,Auto & Motorrad: Teile > Auto-Ersatz- & -Reparaturteile > Filter > Filter-Sets,SKU-9078406333,4040074137246,"MEYLE Markenqualität für Zuverlässigkeit und Langlebigkeit bei Audi, Seat, Skoda, VW. | Gewährleistet exzellente Filtration zum Schutz wichtiger 1.6/2.0 TDI Motorkomponenten. | Optimale Passgenauigkeit für Audi, Seat, Skoda, VW ermöglicht schnelle und unkomplizierte Installation. | Umfassendes Filter-Set für eine effiziente und vollständige Fahrzeugwartung. | Präzisionsgefertigte Komponenten aus hochwertigen Materialien für beste Leistung.",,"{""Anzahl der Einheiten"":""1"",""Für Oldtimer geeignet"":""Nein"",""Geeignet für Fahrzeugtyp"":""PKW"",""Gewichtseinheit"":""kg"",""Herstellernummer"":""112 330 0003/S"",""Herstellungsland"":""Deutschland"",""K-Typ"":""31316,Fahrgestellnummer ab : 8P-6-176 001|31317,Fahrgestellnummer ab : 8P-6-176 001|32688,Fahrgestellnummer ab : 8P-6-176 001|31320,Fahrgestellnummer ab : 8P-6-176 001|32690,Fahrgestellnummer ab : 8P-6-176 001|31318,Fahrgestellnummer ab : 8P-6-176 001|31319,Fahrgestellnummer ab : 8P-6-176 001|32689,Fahrgestellnummer ab : 8P-6-176 001|32744,Fahrgestellnummer ab : 8P-6-176 001|34842,Fahrgestellnummer ab : 8P-6-176 001|32745,Fahrgestellnummer ab : 8P-6-176 001|34859,Fahrgestellnummer ab : 8P-6-176 001|756,Fahrgestellnummer ab : 8P-6-176 001|762,Fahrgestellnummer ab : 8P-6-176 001|31590,Fahrgestellnummer ab : 8P-6-176 001|7894,Fahrgestellnummer ab : 8P-6-176 001|31591,Fahrgestellnummer ab : 8P-6-176 001|5013,Fahrgestellnummer ab : 8P-6-176 001|7904,Fahrgestellnummer ab : 8P-6-176 001|4819,Fahrgestellnummer ab : 8P-6-176 001|31965,Fahrgestellnummer ab : 8P-6-176 001|10574,Fahrgestellnummer ab : 8P-6-176 001|6339,Fahrgestellnummer ab : 8P-6-176 001|32788,Fahrgestellnummer ab : 8P-6-176 001|33322,Fahrgestellnummer ab : 8P-6-176 001|32787,Fahrgestellnummer ab : 8P-6-176 001|10573,Fahrgestellnummer ab : 8P-6-176 001|32789,Fahrgestellnummer ab : 8P-6-176 001|6345,Fahrgestellnummer ab : 8P-6-176 001|10974,Fahrgestellnummer ab : 8P-6-176 001|32752,Fahrgestellnummer ab : 8P-6-176 001|32753,Fahrgestellnummer ab : 8P-6-176 001|34950,Fahrgestellnummer ab : 8P-6-176 001|34951,Fahrgestellnummer ab : 8P-6-176 001|15135,Fahrgestellnummer ab : 8P-6-176 001|34949,Fahrgestellnummer ab : 8P-6-176 001|11158,Fahrgestellnummer ab : 8P-6-176 001|34952,Fahrgestellnummer ab : 8P-6-176 001|34955,Fahrgestellnummer ab : 8P-6-176 001|34958,Fahrgestellnummer ab : 8P-6-176 001|11156,Fahrgestellnummer ab : 8P-6-176 001|15143,Fahrgestellnummer ab : 8P-6-176 001|34957,Fahrgestellnummer ab : 8P-6-176 001|11160,Fahrgestellnummer ab : 8P-6-176 001|11155,Fahrgestellnummer ab : 8P-6-176 001|34956,Fahrgestellnummer ab : 8P-6-176 001|10245,Fahrgestellnummer ab : 8P-6-176 001|33645,Fahrgestellnummer ab : 8P-6-176 001|31340,Fahrgestellnummer ab : 8P-6-176 001|31595,Fahrgestellnummer ab : 8P-6-176 001|31596,Fahrgestellnummer ab : 8P-6-176 001|11212,Fahrgestellnummer ab : 8P-6-176 001|31341,Fahrgestellnummer ab : 8P-6-176 001|33674,Fahrgestellnummer ab : 8P-6-176 001|30397,Fahrgestellnummer ab : 8P-6-176 001|34977,Fahrgestellnummer ab : 8P-6-176 001|9620,Fahrgestellnummer ab : 8P-6-176 001"",""Kompatible Automarken"":""Audi, Seat, Skoda, VW"",""Kompatible Motortypen"":""1.6 TDI, 2.0 TDI"",""Lieferumfang"":""1 Filter-Satz"",""Marke"":""MEYLE"",""Produktart"":""Filter-Satz"",""Referenznummer(n) OEM"":""03L115466, 1K0129620D, 1K1819653"",""Universell einsetzbar"":""Nein"",""weight"":1,""Zustand"":""Neu""}",46.49 EUR,XGA0106D,1
"MEYLE Gelenksatz Antriebswelle 100 498 0057, radseitig, ABS-Ring, Schwarz",MEYLE,,SKU-6074840029,4040074266946,"Kompletter MEYLE Gelenksatz (100 498 0057) | Für schnellen und effizienten Austausch der Antriebswelle | Sichert optimale Kraftübertragung und Fahrstabilität | Präzise Fertigung für perfekte Passform | Inklusive Gelenk, Manschette, Schellen-Set und Spezialfett","Dieser radseitige MEYLE Gelenksatz (100 498 0057) inklusive ABS-Ring sorgt für eine optimale Kraftübertragung der Antriebswelle. Das Set ist neu, schwarz und bietet eine präzise Passform.","{""Anwendungsbereich"":""Antriebswelle"",""Einbauposition"":""radseitig"",""Farbe"":""Schwarz"",""Gewichtseinheit"":""kg"",""Hersteller"":""MEYLE"",""Herstellernummer"":""100 498 0057"",""Kategorie"":""Fahrzeugteile > Antrieb & Getriebe > Antriebswellen & Gelenke"",""Lieferumfang"":""1x Gelenk, 1x Manschette, 1x Schellen-Set, 1x Spezialfett"",""Marke"":""MEYLE"",""Mit ABS-Ring"":""Ja"",""Oldtimer-Teil"":""Nein"",""Produktart"":""Gelenksatz"",""Referenznummer OEM"":""893 498 099 MX"",""Tuning- & Styling-Teil"":""Nein"",""Universelle Passform"":""Nein"",""weight"":1,""Zertifizierung"":""EAC-zertifiziert"",""Zustand"":""Neu""}",29.39 EUR,XGA0106C,1
Elring Motordichtung 057.240 Motorblock Dichtung für präzise Abdichtung Neu,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile,SKU-8581934036,4041248145418,Elring Motordichtung 057.240 für präzise Abdichtung des Motorblocks. | Hochwertige Materialien garantieren extreme Widerstandsfähigkeit und Langlebigkeit. | Exakte Passform ermöglicht einfache und sichere Montage. | Verhindert zuverlässig Leckagen und schützt vor Motorschäden. | Herstellernummer 057.240 sichert exakte Kompatibilität. | Produziert in Italien nach strengen Qualitätsstandards. | Optimiert die Betriebssicherheit und Effizienz des Motors.,"Die Elring Motordichtung 057.240 sichert eine präzise und langlebige Motorabdichtung, die Leistung und Effizienz Ihres Fahrzeugs nachhaltig steigert. Gefertigt aus erstklassigen Materialien und nach bewährter Ingenieurskunst, bietet sie höchste Beständigkeit unter extremsten Bedingungen.Diese Dichtung garantiert eine perfekte Passform und schützt effektiv vor Leckagen sowie potenziellen Motorschäden. Sie optimiert die Motorleistung und gewährleistet maximale Betriebssicherheit für Ihr Fahrzeug.Der Lieferumfang umfasst eine Elring Motordichtung 057.240, die eine unkomplizierte Installation durch qualifiziertes Fachpersonal ermöglicht. Vertrauen Sie auf die bewährte Original Elring Qualität, die von Werkstätten weltweit für unübertroffene Zuverlässigkeit geschätzt wird.","{""Anwendungsbereich"":""Motorblock"",""GPSR Manufacturer address"":""ElringKlinger AG, Max-Eyth-Str. 2, 72581 Dettingen an der Erms, Germany"",""GPSR Manufacturer name"":""Elring"",""Herstellernummer"":""057.240"",""Herstellungsland"":""Italien"",""Im Lieferumfang enthalten"":""Dichtung"",""Kategorie"":""Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile"",""Marke"":""Elring"",""Maßeinheit"":""Stück"",""Menge"":""1"",""Oldtimer-Teil"":""Nein"",""Performance-Teil"":""Ja"",""Produktart"":""Motordichtung"",""Tuning- & Styling-Teil"":""Nein"",""Universelle Kompatibilität"":""Nein"",""weight"":1,""Zustand"":""Neu""}",25.99 EUR,XGA0106C,3
Elring Motordichtungssatz 542.210 Leckageschutz Erstausrüsterqualität Schwarz Neu,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze,SKU-8529588380,4041248434536,"Elring Erstausrüsterqualität für zuverlässige Motorfunktion und Langlebigkeit. | Effektiver Leckageschutz verlängert die Motorlebensdauer signifikant. | Hochwiderstandsfähige Materialien schützen vor Hitze, Druck und Chemikalien. | Präzisionsgefertigte Dichtungen garantieren optimale Passform und Abdichtung. | Minimiert Wartungsaufwand und erhält volle Motorleistung dauerhaft. | Beständig gegen extreme Betriebsbedingungen und aggressive Medien. | Entwickelt für maximale Schutzwirkung und erhöhte Motorsicherheit.","Der Elring Motordichtungssatz 542.210 sichert die langfristige Zuverlässigkeit Ihres Motors und schützt effektiv vor Leckagen. Er ist die ideale Lösung, um den Wartungsaufwand durch langlebige Abdichtung zu minimieren und die Motorleistung zu erhalten.Gefertigt aus hochwiderstandsfähigen Materialien in bewährter Erstausrüsterqualität, garantiert dieses Set maximalen Schutz vor Hitze, Druck und chemischen Einflüssen. Es beinhaltet alle präzisionsgefertigten Dichtungen, die eine optimale Passform und dauerhafte Abdichtung selbst unter extremsten Bedingungen gewährleisten.Für eine einwandfreie Funktion und Ihre Sicherheit empfehlen wir dringend die Installation durch qualifiziertes Fachpersonal. Vertrauen Sie auf Elring, eine Marke, die für unübertroffene Motorzuverlässigkeit und Qualität steht.","{""Angebotspaket"":""Nein"",""Anwendungsbereich"":""Motor"",""Anzahl"":""1"",""Besondere Merkmale"":""Leckageschutz, Erstausrüsterqualität"",""EAN"":""4041248434536"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Elring"",""Hersteller"":""Elring"",""Herstellernummer"":""542.210"",""K-Typ"":""20043|9533|19704|28211|19626|23285|19627|23267|19628|23286|19629|152078|145880"",""Kategorie"":""Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungssätze"",""Kategorie (allgemein)"":""Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe > KFZ-Dichtungen"",""Lieferumfang"":""Motordichtungssatz"",""Maßeinheit"":""Einheit"",""Material"":""Hochwiderstandsfähige Materialien"",""Merkmale"":""Leckageschutz, Erstausrüsterqualität"",""Modifizierter Artikel"":""Nein"",""Oldtimer-Teil"":""Nein"",""Produktart"":""Dichtungssatz"",""weight"":1,""Zustand"":""Neu""}",45.95 EUR,XGA0106B,1
"Elring Zylinderkopfdichtungssatz 1212188109, 60 Nm Anzugsdrehmoment",Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe,SKU-7321712010,4041248450864,"Sichert optimale Motorleistung und präzise Kompression langfristig. | Gefertigt aus erstklassigen Materialien für maximale Langlebigkeit. | Elring Originalteil: Garantiert perfekte Passgenauigkeit und Zuverlässigkeit. | Effektiver Schutz vor Leckagen und schädlichem Druckverlust. | Einfache Installation, ideal für Profis und erfahrene Heimwerker. | Spezifisches Anzugsdrehmoment von 60 Nm für sichere Montage. | Erfordert einen Anzugswinkel von 90° für optimale Dichtigkeit.","Der Elring Zylinderkopfdichtungssatz 150.153 sichert eine präzise Abdichtung, die optimale Motorleistung und Kompression zuverlässig gewährleistet. Gefertigt aus hochwertigen Materialien, garantiert dieser Satz außergewöhnliche Langlebigkeit und zuverlässige Funktion unter allen Betriebsbedingungen.Dieses Originalersatzteil bietet höchste Passgenauigkeit und Qualität, um die Effizienz und den Werterhalt Ihres Fahrzeugs zu maximieren. Der Lieferumfang beinhaltet alle notwendigen Dichtungen für eine vollständige und fachgerechte Zylinderkopfreparatur.Die einfache Installation ist sowohl für professionelle Mechaniker als auch für erfahrene Heimwerker konzipiert, was eine schnelle und effektive Instandsetzung ermöglicht. Vertrauen Sie auf Elring Originalteile, um die Leistungsfähigkeit und Sicherheit Ihres Motors langfristig zu sichern und zu erhalten.","{""Anwendungsbereich"":""Motorabdichtung"",""Anzugsdrehmoment"":""60 Nm"",""Anzugswinkel"":""90°"",""Artikelnummer"":""647-203"",""Dichtungssatz"":""Ja"",""Dichtungstyp"":""Zylinderkopfdichtung"",""EAN"":""4041248450864"",""Einbauposition"":""Motor"",""Farbe"":""Braun, Schwarz, Metallisch"",""GPSR Manufacturer name"":""Elring"",""Hauptkategorie"":""Auto & Motorrad > KFZ-Ersatzteile > Antrieb, Motoren & Getriebe > KFZ-Dichtungen"",""Hersteller"":""Elring"",""Herstellernummer"":""1212188109"",""Herstellungsland"":""Deutschland"",""Interne Produkt-ID"":""4041248450864"",""Kategorie"":""Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Dichtungen & Dichtungsringe"",""Kategorie Pfad (Allgemein)"":""Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile > Dichtungen & Montageteile > Zylinderkopfdichtungen"",""Lieferumfang"":""1x Zylinderkopfdichtungssatz"",""Marke"":""Elring"",""Produktart"":""Zylinderkopfdichtungssatz"",""Produktgruppe"":""Motorenteile"",""weight"":1,""Zustand"":""Neu""}",25.86 EUR,XGA0106B,1
Elring Zylinderkopfdichtung 150.162 für Volkswagen Motoren Schwarz/Bronze Neu,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile,SKU-4780318569,4041248450871,Elring Erstausrüsterqualität für höchste Zuverlässigkeit und Passgenauigkeit. | Sichere Brennraumabdichtung schützt effektiv vor Leckagen im Motor. | Extrem belastbar dank hitzebeständiger Premium-Materialien. | Präzise Passform optimiert Motorleistung und Effizienz. | Gewährleistet maximale Betriebssicherheit für Volkswagen Motoren. | Herstellernummer 150.162 sichert exakte Kompatibilität.,"Sichern Sie die unübertroffene Leistung und Langlebigkeit Ihres Volkswagen Motors mit der Elring Zylinderkopfdichtung 150.162. Diese Dichtung gewährleistet eine absolut zuverlässige Abdichtung des Brennraums und schützt vor Leckagen. Gefertigt in bewährter Erstausrüsterqualität aus extrem robusten, hitzebeständigen Materialien, bietet sie präzise Passgenauigkeit für maximale Betriebssicherheit. Der Lieferumfang umfasst eine hochwertige Zylinderkopfdichtung, exakt auf Ihr Fahrzeug abgestimmt. Für eine fehlerfreie Funktion und die volle Entfaltung ihres Potenzials ist die fachgerechte Installation durch qualifiziertes Personal zwingend erforderlich. Investieren Sie jetzt in die Zuverlässigkeit und Effizienz Ihres Fahrzeugs mit dieser Premium-Zylinderkopfdichtung von Elring.","{""Anzahl der Dichtungen"":""1"",""EAN"":""4041248450871"",""Einbauposition"":""Motor"",""Farbe"":""Schwarz/Bronze"",""GPSR Manufacturer name"":""Elring"",""Herstellernummer"":""150.162"",""Herstellungsland"":""Deutschland"",""Kategorie"":""Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile"",""Kompatible Fahrzeugmarke"":""Volkswagen"",""Lieferumfang"":""1x Zylinderkopfdichtung"",""Marke"":""Elring"",""Produktart"":""Zylinderkopfdichtung"",""Produktgruppe"":""Motorenteile"",""weight"":1,""Zustand"":""Neu""}",23.88 EUR,XGA0106B,1
Elring Zylinderkopfdichtungssatz 150.172 Motor Erstausrüsterqualität Neu,Elring,Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile,SKU-1948960316,4041248450888,"Zuverlässige Motorabdichtung verhindert effektiv Öl- und Kühlmittelverlust. | Schützt den Motor vor Verbrennungsgasleckagen und teuren Schäden. | Erstausrüsterqualität ""Das Original"" präzise in Deutschland gefertigt. | Hochwertige Materialien widerstehen extremen Temperaturen und Drücken. | Inklusive Montagehinweise für korrekte Anzugsdrehmomente und Installation. | Original Elring Ersatzteil garantiert exakte Passform und optimale Funktion.","Der Elring Zylinderkopfdichtungssatz 150.172 gewährleistet eine absolut zuverlässige Motorabdichtung, indem er effektiv das Austreten von Öl, Kühlmittel und Verbrennungsgasen verhindert. Dies sichert eine optimale Motorfunktion, schützt langfristig vor kostspieligen Schäden und verlängert die Lebensdauer Ihres Motors erheblich.Gefertigt in Deutschland, repräsentiert dieser Dichtungssatz als ""Das Original"" höchste Erstausrüsterqualität und Präzision für Ihr Fahrzeug. Die verwendeten hochwertigen Materialien sind speziell dafür konzipiert, extremen Temperaturen und Drücken standzuhalten, was eine dauerhafte und zuverlässige Leistung unter härtesten Betriebsbedingungen gewährleistet.Der vollständige Dichtungssatz ist im Lieferumfang enthalten und ermöglicht eine fachgerechte Reparatur oder Wartung Ihres Motors. Für eine sichere Installation sind die spezifischen Montagehinweise zu Anzugsdrehmomenten und der Verwendung neuer Zylinderkopfschrauben unbedingt zu beachten, um volle Funktionalität und Sicherheit zu gewährleisten.","{""Besonderheiten"":""Erstausrüsterqualität"",""EAN"":""4041248450888"",""Einbauposition"":""Motor"",""GPSR Manufacturer name"":""Elring"",""Herstellernummer"":""150.172"",""Herstellungsland"":""Deutschland"",""Kategorie"":""Auto & Motorrad: Teile > Autoteile & Zubehör > Motoren & Motorenteile"",""Lieferumfang"":""1x Zylinderkopfdichtungssatz"",""Marke"":""Elring"",""Material"":""Hochwertige Verbundmaterialien"",""Produktart"":""Zylinderkopfdichtungssatz"",""Universelle Kompatibilität"":""Nein"",""weight"":1,""Zustand"":""Neu""}",33.28 EUR,XGA0106B,1
fischer Hammerbohrer Quattric II SDS-plus Ø 24mm 450mm Quattric II 24/450/400,fischer,Business & Industrie > Werkzeuge & Werkstattbedarf > Elektrowerkzeug-Zubehör > Bohrer,SKU-8927251416,4043962306996,"PGM-zertifiziert für höchste Präzision und exakte Bohrlöcher. | SDS-plus Aufnahme für optimale Kraftübertragung und sicheren Halt. | Quattric II Geometrie ermöglicht schnelle Bohrfortschritte und minimierte Vibrationen. | Robuste Hartmetallspitze garantiert extrem hohe Standzeiten in Beton. | Qualität 'Made in Germany' für zuverlässige Leistung und Langlebigkeit. | Ideal für Beton, Mauerwerk und Naturstein.","Der fischer Hammerbohrer Quattric II SDS-plus Ø 24mm bietet Profis unübertroffene Präzision und Leistung für Beton, Mauerwerk und Naturstein. Seine innovative Quattric II Bohrkopf-Geometrie sorgt für exakte Bohrlöcher, schnelle Arbeitsfortschritte und minimierte Vibrationen bei jeder Anwendung.Ausgestattet mit einer extrem robusten Hartmetallspitze und einer optimierten SDS-plus Aufnahme, garantiert dieser Premium-Bohrer maximale Langlebigkeit und verlustfreie Kraftübertragung. Das PGM-Prüfzeichen verbürgt sich für absolute Maßhaltigkeit und Zuverlässigkeit, unterstrichen durch die bewährte Qualität 'Made in Germany'.Im Lieferumfang ist ein fischer Hammerbohrer Quattric II SDS-plus Ø 24mm enthalten, der sofort für anspruchsvolle Projekte einsatzbereit ist. Vertrauen Sie auf dieses Präzisionswerkzeug, das sich in tausenden Anwendungen bewährt hat und Ihnen langfristig herausragende Ergebnisse sichert.","{""Angebotspaket"":""Nein"",""Anzahl der Schneiden"":""4"",""Anzahl der Teile"":""1"",""Arbeitslänge"":""400 mm"",""Aufnahme"":""SDS-plus"",""Durchmesser"":""24 mm"",""EAN"":""4043962306996"",""Gesamtlänge"":""450 mm"",""GPSR Manufacturer name"":""fischer"",""Hersteller"":""fischerwerke GmbH & Co. KG"",""Herstellungsland"":""Deutschland"",""Kategorie"":""Business & Industrie > Werkzeuge & Werkstattbedarf > Elektrowerkzeug-Zubehör > Bohrer"",""Kernbohrer"":""Nein"",""Marke"":""fischer"",""Maßeinheit"":""Einheit"",""Material"":""Hartmetall"",""Modell"":""Quattric II"",""Modifizierter Artikel"":""Nein"",""PGM-Prüfzeichen"":""Ja"",""Produktart"":""Hammerbohrer"",""weight"":1,""Zustand"":""Neu""}",41.9 EUR,XGA0102B,1
VAICO 2x Bremsscheibe voll hinten für Ford Kuga I Galaxy WA6 Land Rover Range,VAICO,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,SKU-3016364513,4046001447266,Konstante Hochleistungsbremsung für maximale Fahrsicherheit. | Effiziente Wärmeableitung verhindert zuverlässig Bremsfading. | Hochverschleißfeste Materialien garantieren außergewöhnliche Langlebigkeit. | Präzisionsgefertigt für perfekte Passgenauigkeit und einfache Montage. | Set mit zwei Bremsscheiben für kompletten Achsen-Austausch. | Zuverlässige Performance unter extremen Fahrbedingungen gewährleistet. | Erfüllt höchste Qualitätsstandards der VAICO Marke.,"Die VAICO Bremsscheiben V25-40006 bieten unvergleichliche Fahrsicherheit und eine konstant hohe Bremsleistung für Ihr Fahrzeug. Ihre Präzisionsfertigung gewährleistet eine effiziente Wärmeableitung und minimiert Bremsfading selbst unter extremsten Bedingungen.Gefertigt aus hochverschleißfesten Materialien, garantieren diese Bremsscheiben eine außergewöhnlich lange Lebensdauer und zuverlässige Performance. Der Lieferumfang umfasst ein praktisches 2er-Set, das einen unkomplizierten Austausch an einer Achse ermöglicht und optimale Passgenauigkeit sichert.Für maximale Sicherheit und optimale Funktion wird die fachgerechte Installation durch qualifiziertes Personal dringend empfohlen. Vertrauen Sie auf die bewährte Qualität der VIEROL AG, die Langlebigkeit und eine konstante Performance über viele Kilometer hinweg sichert.","{""Besonderheiten"":""Hohe Leistung"",""Bremsscheibenart"":""Voll"",""Bremsscheibendicke"":""10.9 mm"",""Durchmesser"":""302 mm"",""EAC_Kennzeichnung"":""Ja"",""EAC-Kennzeichnung"":""Ja"",""Einbauposition"":""Hinterachse"",""Einheitentyp"":""Stück"",""GPSR_Manufacturer_email"":""info@vierol-shop.de"",""GPSR_Manufacturer_name"":""VIEROL AG"",""GPSR_url"":""www.vierol-shop.de"",""Hersteller"":""VAICO"",""Herstellernummer"":""V25-40006"",""Höhe"":""50.8 mm"",""K-Typ"":""30837|33494|19167|6932|6802|19438|19714|19437|33349|59494|32693|5575|19439|19440|24463|33350|9854|24464|24462|142738|142744|142746|142748|142750|26577|33338|26578|33339|33340|30899|142778|142781|142782|142783|6939|6979|6938|22506|22507|22510|32387|22508|6951|30331|5136|33351|5137|22511|22512|24451|33354|6981|24452|24450|22509|120851|100896|10343|32699|128496|32388|32701|22520|131623|32685|5152|128494|22522|22523|24457|54925|126877|24453|126874|24455|22521|7015|7020|7002|22513|22514|22517|32389|22515|7019|30330|5086|33355|5060|22518|22519|24458|33352|7021|24454|24456|22516|134506|134507|134502|134188|134505|6915|6803|19708|32705|19441|6921|33348|59495|30329|5614|19443|19444|24461|33347|6918|24459|24460|19442|143085|143086|143087|143088|143089|143090|143091|9824|100976|115023|128221|115147|115148|115150|127386|9816|9817|9818|117555|128231|117553|117554|128145|142926|142922|142924|142925"",""Kategorie"":""Auto & Motorrad: Teile"",""Lieferumfang"":""2 Bremsscheiben"",""Lochanzahl"":""5"",""Lochkreis-Ø"":""108 mm"",""Menge"":""2"",""Oldtimer-Teil"":""Nein"",""Produktart"":""Bremsscheibe"",""Produktgruppe"":""Bremssystem"",""Referenznummer_OEM"":""2 111 254"",""Universelle Kompatibilität"":""Nein"",""weight"":1,""Zustand"":""Neu""}",67.38 EUR,XGA0106C,1
europet bernina Trinkbrunnen: Frisches & gefiltertes Wasser für gesunde Haustiere,europet bernina,Haustierbedarf > Katzen > Näpfe & Trinkbrunnen,SKU-6068074259,4047059413104,"Stets frisches, gefiltertes Wasser fördert die Gesundheit Ihrer Haustiere. | Großes 2,1-Liter-Fassungsvermögen sichert lange, zuverlässige Wasserversorgung. | Extrem sparsamer 4-Watt-Betrieb schont Umwelt und Ihr Haushaltsbudget. | Mühelose Befüllung und schnelle Reinigung garantieren höchste Hygiene. | Integrierte LED-Anzeige informiert diskret über den aktuellen Betriebsstatus. | Kompaktes Design ermöglicht flexible, platzsparende Integration in jedes Zuhause.","Der europet bernina PET AQUA FRESH Trinkbrunnen gewährleistet eine konstante Versorgung Ihrer geliebten Haustiere mit hygienisch reinem, gefiltertem Wasser. Dieses System stimuliert auf natürliche Weise den Trinktrieb von Hunden und Katzen und trägt maßgeblich zur Förderung ihrer Gesundheit und Vitalität bei.Mit einem großzügigen Fassungsvermögen von 2,1 Litern bietet dieser Brunnen, bestehend aus dem Hauptgerät und einem effizienten Filtersystem, eine zuverlässige Wasserquelle, die auch bei längerer Abwesenheit des Halters ausreichend Flüssigkeit bereitstellt. Gefertigt aus hochwertigem, langlebigem Kunststoff, überzeugt er zudem durch einen äußerst sparsamen Energieverbrauch von lediglich 4 Watt.Die unkomplizierte Befüllung und der schnelle, werkzeuglose Filterwechsel garantieren dauerhaft optimale Wasserqualität sowie höchste Hygienestandards. Eine integrierte LED-Anzeige informiert diskret über den Betriebsstatus, während das kompakte Design eine flexible Integration in jedes Wohnambiente ermöglicht.","{""Abmessungen"":""25 x 20 x 18 cm"",""Besonderheiten"":""Filterfunktion, LED-Anzeige, Geringer Energieverbrauch"",""Farbe"":""Weiß, Blau"",""Fassungsvermögen"":""2.1 L"",""Herstellernummer"":""603-413104"",""Kategorie"":""Haustierbedarf"",""Leistung"":""4 W"",""Material"":""Kunststoff"",""Produktart"":""Trinkbrunnen"",""Tierart"":""Hund, Katze""}",49.99 EUR,XGA0201B,1
Trotec HEPA Carbon Kombifilter für AirgoClean 170 E Luftreiniger Schwarz,Trotec,"Haushaltsgeräte > Kaffee-, Tee- & Espressomaschinen > Filter-Kaffeemaschinen",SKU-8414659629,4052138007280,"Umfassende Luftreinigung dank HEPA- und Aktivkohle-Technologie. | Entfernt effektiv Feinstaub, Pollen, Allergene und Bakterien. | Neutralisiert zuverlässig unangenehme Gerüche, Rauch und Dämpfe. | Passgenau für Trotec AirgoClean 170 E, einfacher Filterwechsel. | Hergestellt aus hochwertigem Filtervlies und effektiver Aktivkohle. | Sorgt für ein gesünderes Raumklima durch verbesserte Luftqualität.","Der Trotec Luftreinigerfilter kombiniert HEPA- und Aktivkohlefiltration, um Feinstaub, Allergene und Gerüche effektiv aus der Luft zu entfernen. Er ist passgenau für den Trotec AirgoClean 170 E konzipiert und sorgt für eine verbesserte Raumluftqualität.","{""Anwendungsbereich"":""Luftreinigung"",""Anzahl"":""1 Stück"",""EAN"":""4052138007280"",""Farbe"":""Schwarz"",""Filtertechnologie"":""HEPA, Aktivkohle"",""Filtertyp"":""HEPA- und Aktivkohlefilter"",""Geeignet für Gerätetyp"":""Luftreiniger"",""Hersteller-Artikelnummer"":""7.160.00.530"",""Herstellernummer"":""7.160.00.530"",""Kompatibilität"":""Trotec AirgoClean 170 E"",""Marke"":""Trotec"",""Material"":""Filtervlies, Aktivkohle"",""Modell"":""Airgoclean 170 E"",""Produktart"":""Kombifilter"",""weight"":1,""Zustand"":""Gebraucht""}",11.99 EUR,XGA0203A,4
